836251^Like A Hurricane^https://images.genius.com/f7c63de719034ffc695bb12644dfc699.497x497x1.jpg^2008-03-11^Once I thought I saw you in a crowded hazy barDancing on the light from star to starFar across the moonbeam I know thats who you areI saw your brown eyes turning once to fireYou are like a hurricaneTheres calm in your eyeAnd I'm gettin blown awayTo somewhere safer where the feeling staysI want to love you but I'm getting blown awayI am just a dreamer, but you are just a dreamYou could have been anyone to meBefore that moment you touched my lipsThat perfect feeling when time just slipsAway between us on our foggy tripYou are like a hurricaneTheres calm in your eyeAnd I'm gettin blown awayTo somewhere safer where the feeling staysI want to love you but I'm getting blown awayYou are just a dreamer, and I am just a dreamYou could have been anyone to meBefore that moment you touched my lipsThat perfect feeling when time just slipsAway between us on our foggy tripYou are like a hurricaneTheres calm in your eyeAnd I'm gettin blown awayTo somewhere safer where the feeling staysI want to love you but I'm getting blown away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645067^Drive^https://images.rapgenius.com/e8f38da7e8997e7290dc83c56701e91e.1000x1000x1.jpg^^[Verse 1]Off top she ready cause we do it big, you could smell meAnd this Henny sip, she jiggly that jellyGoing off that pilly, on that get sillyShe says sometimes I feel so alone in this citySo you can bring your friends and I'ma bring mine tooShe having Deja Vu, she like how I came throughPimping never sipping, she know that I stay trueThat last nigga she had, she had to cut him looseHad to cut him loose but nigga I'm the truthShe tryna ride with me so she hopped in the CoupeShe said I'm something new and something familiarShe said you complete me but really I'm not feeling her[Hook]I see you, I see youI'm really tryna meet youShow you how I live, I'm blowing on that dieselShe said where have you been, I've been tryna reach youShe said where have you been, I've been tryna reach youShe said I set her free, said she let me inI know she loves me, no this ain't pretendDon't let her get to know me, I already got her friendsShe said I'm feeling lonely come over to my cribShe said I'm feeling lonely come over to my cribShe said I'm feeling lonely come over to my cribShe said I'm feeling lonely come over to my cribLaflare just hold me, hold me while you're hereMoney, money, money, money[Verse 2]I'm out here, out here, smoking on that indo[?] on Hollywood [?]She out of here, that molly good[?] ten 0's[?]10K trying to rent hoesHot boxing that Benz thoCops watching, them Glocks hiding in the back with extendos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645767^Rage Rhyme^https://images.genius.com/7dad7050ed14c00498b017265cd85711.474x474x1.jpg^2011-12-15^[Verse: Sam]Hi guys, it's SamYou know, the guy, the kid, from the bandI'm really mad (okay) I'm really pissed (oh yeah)Okay, okay, you guys are all gayThat's all I really have to rhyme right nowMaybe I'll call you JorgeYou know, from Jor-gayThis is really bad, but por que?You know what, suck a dickBut I won't lick your buttFuck you guys, put it in your guysI don't really know, anything elseNow I'm gonna stop this rhyme right hereBecause I suck and I'm gonna run out of time right nearFuck! I don't even make any senseShit!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915420^Go And Be^https://images.genius.com/42e4319a3c43887c5e57ddcee70d4cc5.1000x1000x1.jpg^^You're like a letter that's never mailedYou're like a hammer without a nailYou've been standing in this place for far too longYou come to the table and you get fedThen you hide it inside your headWhy not open up and start to runGo and Be nothing less than you'Cause you begin in HimHe'll show you what you need to know toGo and Be every single dayGo and BeYou're like a winner without a prizeYou're like a bird without a skyYou're not into the race until you runSo run with your life and you will findAll the things you leave behindDon't mean that when everything's brand newGo and Be nothing less than youCause you begin in HimHe'll show you what you need to know toGo and Be every single dayGo and BeWill you be the one?Will you be the one to come and see?Will you be the one to go and be?Go and be nothing less than you'Cause you begin in HimHe'll show what you need to know toGo and Be every single dayWho you are in HimOne who loves as Jesus lovesNow go and beNothing less than youGo and beNothing less than trueWould you come and seeAll there is to beGo and beCome and see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745882^Involved^https://images.genius.com/b3b0b5f450b8e25306851ec84fa8b7a2.1000x1000x1.jpg^2015-02-05^[Verse 1: Towkio]I said it’s on, but really that’s an insultBut it’s ok, they wanna get involvedI see their face, they’re goin’ through withdrawalBut we in here like ingrownsSo it's all good if they wanna get involvedSee ya look around and look like your friends goneSo I’mma walk up, don’t ya dare try put me in the friend-zoneIf you got a man or your friend don't, it's onIn this bitch, get it jumpin’ like a pinballIt's save money, but that dirty money get rinsed offAnd somehow we feel like a wishboneDown to gettin’ crackin’, I dunno what they’ve been onI post like a big man, ball like I’m the sixth manBut you against me, that’s a mismatchI’m mighty clean, I just said that, I’m a muthafuckaGoin’ crazy, flow wet, need an umbrellaOk, I see you go ahead, go and make your standI ain’t got no protestYou trying to reach your goals and they tryin’ to goaltendThat’s the son of a gun, Goten, they a son of my sonLike oh God, I’mma break it down to the neutron electronProton, know you go hard, you come up in the city of the GohanThink you wanna put a coat on, tell 'em hold on wait[Verse 2: Vic Mensa]Saturday night fever, you should be dancin’So why you trippin’ like two left feet?I just wanna make you sing, my dearHey, like do-re-mi, uhNiggas got the game fucked upBut we came fucked up, you already know what the mission isAnd my vision is, my position hereOn top of you fucks like missionaryMe and Towkio make classicsFor your yoga booty classesCastin’ calls at the Beverly mall eating Kashi CrunchGirl, ya betta shake yo ass-etsI ask her if she been with her friend said noMaybe so, Perry's at Lolla, I kissed a girl like KatyNo bands, but she says she heard me on the radio (ayy, ayy)80 on GCI, heard of BBCIn my ice-cream shit like P but a lil more newerIn the future, frame so retro superI don’t need a Lois LaneI guarantee these hoes follow suitNah, I can’t be your supermanBut I do SAVEMONEY that's crew, what it doAye[Outro: Vic Mensa & Towkio]Couple of girls wanna run that threeIn the club finna close at twoWe’re takin’ chancesLook how she dances, oh, like she wanna be involvedOh, now they all wanna get involvedNow they all wanna get involved, now they all wanna get involvedNow they all wanna get involved, now they all wanna get involvedI said you, you and you, you should come get involvedI said you, you and you, you could come get involvedI said you, you and you, you should come get involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884600^Into Air^https://images.genius.com/73b2b520d6008a2c7ef1caa676bb66d5.300x300x1.jpg^^My hands turn to iceJust when I touched youIt looks like a knifeThat cuts clean through my mindEven if you're lost then tell meEven if you've lost your heartEven if your words can't tell meEven if your eyes shutFor you here is nothingA thought that is kindCloud sits, waiting to dieMy breath forever insideBut here there is nothingA simple goodbyeCrossing a stair on your sideBleeding, you're my counterpartI'm tied to this lifeBut where the memories areThe worth of a lineWill buy us timeEven if you're lost then tell meEven if you've lost your heartEven if your words can't tell meEven if your eyes shutFor you here is nothingA thought that is kindCloud sits, waiting to dieMy breath forever insideBut here there is nothingA simple goodbyeCrossing a stair on your sideBleeding, you're my counterpartFor you here is nothingA thought that is kindCloud sits, waiting to dieMy breath forever inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870533^Peace Of Mind^https://images.genius.com/af2c9ade8360a297ffecc0d341d47c27.500x500x1.jpg^^All we needIt's so hard to findIs some peacePeace of mindAn' all we needAnd it's so hard to findIs some peacePeace of mindWhen the fathersAnd the mothersFight all the timeLeave the sistersAnd the brothersNo time to rhymeTo the left, to the rightSo far apartWith so much to considerNo time for the heartWhen all we needAn' it's so hard to findOh is some peaceSome peace of mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704664^​mausoleum (Intro)^https://images.genius.com/c5aa05e1ac49b5fc667cb789a219bf85.495x497x1.png^^[Supa Bwe]I'm not trippinJust getting better ohI'm not trippinJust getting better oh (x2)I'm not trippinJust po-pimpinMy plug getting betterSo my drugs getting betterCause I get high and she can't slow me downMake me wish I never met herCause she could do much better oh[Jaymz V]We fight and fuck I kick her outWe fight and fuck I'm dippin nowOh oh ohAsking why you always trippin nowWhat's there left to trip aboutOh oh ohI'm not trippingMy drugs getting better ohI'm not trippingJust getting better ohI'm not trippinJust getting better ohI'm not trippinJust getting better oh (x2)[Jaymz V]Roll up take flight with this oneShit, I could die to this oneHaving pride with this oneCause I'ma die to this alone[Supa Bwe]I'm not trippingJust getting better (x2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762077^Rainy Night In Paris^https://images.genius.com/6301dcdbd2c4d7416bcd8db943c5ecf0.1000x1000x1.jpg^^It's a rainy night in ParisAnd the harbour lights are lowHe must leave his love in ParisBefore the winter snowOn a lonely street in ParisHe held her close to sayWe'll meet again in ParisWhen there are flowers on the Champs-Elysees...How long she said How longAnd will your love be strongWhen you're across the seaWill your heart remember me?Then she gave him words to turn toWhen the winter nights were longNous serons encore amoureuxAvec les couleurs de printempsAnd then she said And thenOur love will grow again.Ah but in her eyes he seesHer words of love are only words to pleaseAnd now the lights of ParisGrow dim and fade awayAnd I know by the lights of ParisI will never see her again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969547^Floundering^https://images.genius.com/389a2fe2fc2d60254c2e5d111a62c8fc.1000x1000x1.jpg^^(Carly Simon)First she sees her hypnotistWhen she rushes to her psychiatristShe sees her acupuncturistShe's got to got to get fixedThen she sees her scientologistGets fed by her nutritionistShe can not seem to resistSeeking cosmic consciousnessChorus:Looks like she's floundering againSeems to be floundering againLooks like she's floundering againSeems to be floundering againShe swears by Jack La LanneThen she throws the I Ching againShe searches in the HimalayasFor someone to ease the painChorusShe's looking for a cureShe does not know exactly what forChorusShe's into political activismReading up on Tibetan BuddismAnna Freud's analysed her dreamsAnd she's hoarse from primal screamsChorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
